,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
0,35,management,single,tertiary,no,704,no,no,cellular,21,164,1,-1,0,unknown,yes
1,44,entrepreneur,married,tertiary,no,121,no,no,cellular,9,248,1,91,1,success,yes
2,63,management,married,tertiary,no,3115,no,no,cellular,16,432,5,-1,0,unknown,yes
3,35,blue-collar,married,secondary,no,149,yes,no,cellular,29,507,3,349,1,other,yes
4,30,services,single,secondary,no,140,yes,no,cellular,15,760,1,-1,0,unknown,yes
5,47,management,married,tertiary,no,3663,no,no,cellular,30,364,3,-1,0,unknown,yes
6,36,management,married,tertiary,no,0,no,no,telephone,27,645,9,-1,0,unknown,yes
7,31,management,married,tertiary,no,81,yes,no,cellular,29,164,2,-1,0,unknown,yes
8,33,admin.,single,tertiary,no,146,no,no,cellular,23,351,3,-1,0,unknown,yes
9,39,admin.,married,secondary,no,260,yes,no,cellular,11,175,2,116,2,failure,yes
10,60,blue-collar,married,primary,no,5,no,no,cellular,4,494,1,95,2,success,yes
11,34,services,single,secondary,no,267,no,no,cellular,8,449,2,-1,0,unknown,yes
12,53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,796,5,154,1,failure,yes
13,31,management,single,tertiary,no,2016,no,no,cellular,30,209,1,-1,0,unknown,yes
14,37,technician,single,tertiary,no,197,no,no,cellular,13,234,1,87,3,success,yes
15,52,management,married,secondary,no,335,no,no,cellular,21,411,1,182,1,failure,yes
16,36,management,married,tertiary,no,2161,no,no,cellular,8,708,2,183,5,success,yes
17,25,admin.,single,secondary,no,507,yes,no,cellular,15,832,1,367,3,failure,yes
18,44,blue-collar,single,secondary,no,0,no,no,cellular,20,133,1,-1,0,unknown,yes
19,26,technician,single,secondary,no,668,yes,no,unknown,28,576,3,-1,0,unknown,yes
20,35,management,single,tertiary,no,68,no,no,unknown,6,1085,1,-1,0,unknown,yes
21,29,admin.,married,tertiary,no,332,no,no,cellular,9,179,1,-1,0,unknown,yes
22,43,technician,married,secondary,no,4945,yes,no,cellular,3,219,3,185,2,success,yes
23,36,services,single,unknown,no,281,yes,no,unknown,16,515,1,-1,0,unknown,yes
24,70,retired,married,secondary,no,1853,no,no,telephone,26,314,1,-1,0,unknown,yes
25,33,management,single,tertiary,no,3161,yes,no,cellular,2,313,3,-1,0,unknown,yes
26,90,retired,divorced,primary,no,712,no,no,telephone,3,557,1,-1,0,unknown,yes
27,54,management,divorced,tertiary,no,496,no,no,cellular,13,452,3,-1,0,unknown,yes
28,47,management,married,secondary,no,2892,no,no,unknown,17,556,1,-1,0,unknown,yes
29,32,management,married,tertiary,no,169,no,no,telephone,14,698,2,-1,0,unknown,yes
30,36,services,married,secondary,no,11650,yes,no,telephone,29,268,1,-1,0,unknown,yes
31,27,services,single,secondary,no,955,no,no,cellular,23,206,1,-1,0,unknown,yes
32,39,management,married,tertiary,no,2763,yes,no,unknown,2,526,2,-1,0,unknown,yes
33,24,student,single,secondary,no,382,no,no,cellular,13,256,2,92,3,failure,yes
34,68,retired,married,secondary,no,1443,no,no,telephone,21,2062,2,257,1,success,yes
35,43,admin.,married,secondary,no,132,no,no,cellular,27,187,2,71,1,success,yes
36,27,management,single,tertiary,no,6791,no,no,cellular,5,179,2,69,26,other,yes
37,58,unemployed,married,secondary,no,687,yes,no,cellular,7,221,1,99,2,success,yes
38,26,management,single,tertiary,no,222,no,no,cellular,26,192,1,334,1,failure,yes
39,68,retired,married,secondary,no,1146,no,no,cellular,13,356,1,71,5,success,yes
40,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,560,9,-1,0,unknown,yes
41,68,retired,single,tertiary,no,2144,no,no,cellular,22,277,1,184,2,success,yes
42,59,technician,married,secondary,no,116,no,no,cellular,12,398,4,422,3,failure,yes
43,34,blue-collar,single,secondary,no,3043,yes,yes,cellular,20,670,1,-1,0,unknown,yes
44,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,886,3,-1,0,unknown,yes
45,30,technician,single,tertiary,no,53,no,no,cellular,29,375,1,-1,0,unknown,yes
46,56,blue-collar,married,primary,no,0,yes,no,cellular,16,1222,1,-1,0,unknown,yes
47,67,retired,married,secondary,no,203,no,no,cellular,11,405,1,266,2,success,yes
48,23,student,single,secondary,no,0,no,no,cellular,7,217,1,99,7,success,yes
49,26,management,single,tertiary,no,943,no,no,cellular,11,166,1,195,1,success,yes
50,31,management,single,tertiary,no,147,no,no,cellular,9,469,1,181,2,success,yes
51,55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,3,296,1,270,3,failure,yes
52,50,blue-collar,married,primary,no,5872,yes,no,cellular,5,762,3,-1,0,unknown,yes
53,58,blue-collar,married,primary,no,5188,yes,no,cellular,25,606,6,-1,0,unknown,yes
54,22,student,single,unknown,no,466,no,no,cellular,30,377,1,-1,0,unknown,yes
55,52,blue-collar,married,secondary,no,-519,yes,no,unknown,9,442,8,-1,0,unknown,yes
56,39,management,single,tertiary,no,1515,yes,no,cellular,4,815,6,167,6,failure,yes
57,33,student,married,secondary,no,1536,no,no,cellular,9,359,1,92,3,success,yes
58,27,technician,single,tertiary,no,1075,no,no,cellular,2,658,1,-1,0,unknown,yes
59,55,retired,divorced,secondary,no,-268,no,yes,cellular,24,1417,1,-1,0,unknown,yes
60,32,admin.,married,secondary,no,51,yes,yes,cellular,7,297,1,-1,0,unknown,yes
61,21,entrepreneur,single,tertiary,no,2077,no,no,cellular,5,323,1,-1,0,unknown,yes
62,64,retired,married,primary,no,440,no,no,cellular,6,495,1,-1,0,unknown,yes
63,56,technician,married,secondary,no,589,yes,no,unknown,29,535,2,-1,0,unknown,yes
64,33,self-employed,single,tertiary,no,94,yes,no,cellular,5,955,2,-1,0,unknown,yes
65,54,technician,married,secondary,no,473,no,yes,cellular,2,182,1,81,1,failure,yes
66,86,retired,single,secondary,no,614,no,no,telephone,9,595,1,-1,0,unknown,yes
67,36,services,divorced,secondary,yes,0,no,yes,cellular,15,687,7,-1,0,unknown,yes
68,46,management,married,tertiary,no,4693,no,yes,cellular,7,79,1,394,2,failure,yes
69,32,management,single,tertiary,no,935,no,no,cellular,9,165,1,91,7,success,yes
70,27,admin.,married,tertiary,no,346,no,no,cellular,11,212,1,-1,0,unknown,yes
71,44,blue-collar,married,primary,no,1265,yes,no,cellular,16,555,1,-1,0,unknown,yes
72,19,student,single,primary,no,134,no,no,cellular,27,271,2,-1,0,unknown,yes
73,29,blue-collar,married,secondary,no,2870,yes,no,cellular,16,988,1,-1,0,unknown,yes
74,33,admin.,divorced,tertiary,no,891,no,no,cellular,8,398,2,-1,0,unknown,yes
75,38,admin.,married,tertiary,no,1988,no,no,cellular,27,164,2,130,2,failure,yes
76,73,retired,married,primary,no,796,no,no,cellular,23,888,1,182,3,success,yes
77,28,services,single,secondary,no,168,no,no,cellular,12,387,1,194,1,other,yes
78,33,blue-collar,married,secondary,no,379,yes,yes,cellular,16,263,2,-1,0,unknown,yes
79,23,student,single,unknown,no,2530,no,no,cellular,12,411,1,-1,0,unknown,yes
80,36,management,single,tertiary,no,7606,yes,no,unknown,30,917,1,-1,0,unknown,yes
81,36,management,single,tertiary,no,2944,no,no,cellular,18,882,8,-1,0,unknown,yes
82,49,technician,married,tertiary,no,3726,no,no,cellular,5,875,2,-1,0,unknown,yes
83,53,admin.,married,secondary,no,849,yes,no,cellular,6,3102,3,-1,0,unknown,yes
84,30,management,single,tertiary,no,617,no,no,cellular,27,192,2,-1,0,unknown,yes
85,49,technician,divorced,tertiary,no,596,yes,no,telephone,15,722,1,-1,0,unknown,yes
86,21,blue-collar,single,secondary,no,2265,no,no,cellular,17,92,2,-1,0,unknown,yes
87,34,management,married,tertiary,no,273,yes,no,cellular,14,492,1,175,2,failure,yes
88,56,management,married,unknown,no,4623,no,no,cellular,25,305,1,192,1,success,yes
89,42,entrepreneur,single,unknown,no,323,no,no,unknown,16,617,1,-1,0,unknown,yes
90,48,technician,married,secondary,yes,0,no,no,unknown,30,682,1,-1,0,unknown,yes
91,24,technician,single,secondary,no,726,no,no,cellular,8,445,2,-1,0,unknown,yes
92,37,technician,single,secondary,no,1130,no,no,cellular,26,152,1,-1,0,unknown,yes
93,74,retired,married,primary,no,0,no,no,telephone,13,562,2,-1,0,unknown,yes
94,31,management,divorced,tertiary,no,373,no,no,cellular,10,132,6,-1,0,unknown,yes
95,56,management,divorced,tertiary,no,3287,no,no,cellular,27,497,1,-1,0,unknown,yes
96,75,retired,married,secondary,no,291,no,no,cellular,11,515,1,183,1,failure,yes
97,37,management,divorced,tertiary,no,122,yes,no,unknown,19,1622,2,-1,0,unknown,yes
98,33,self-employed,married,secondary,no,409,no,no,cellular,8,165,1,97,4,success,yes
99,33,management,married,tertiary,no,1412,yes,no,unknown,19,480,1,-1,0,unknown,yes
100,48,management,married,tertiary,no,157,no,no,cellular,28,417,4,-1,0,unknown,yes
101,38,admin.,divorced,secondary,no,19,yes,no,cellular,5,1130,3,251,2,success,yes
102,59,technician,married,primary,no,4198,no,no,cellular,14,309,1,91,10,success,yes
103,61,retired,divorced,secondary,no,927,no,no,cellular,30,427,3,-1,0,unknown,yes
104,34,blue-collar,married,secondary,no,1464,yes,no,cellular,28,207,3,130,5,other,yes
105,86,retired,married,primary,no,1255,no,no,telephone,14,247,1,180,3,success,yes
106,30,admin.,single,secondary,no,914,yes,no,cellular,28,524,3,272,1,failure,yes
107,48,admin.,divorced,secondary,no,4099,no,no,cellular,2,397,2,-1,0,unknown,yes
108,30,admin.,married,secondary,no,873,yes,no,unknown,29,792,3,-1,0,unknown,yes
109,26,management,single,secondary,no,2613,no,no,cellular,1,326,1,-1,0,unknown,yes
110,34,management,single,tertiary,no,275,no,no,cellular,2,196,2,455,23,other,yes
111,47,services,single,unknown,no,1784,no,no,cellular,19,385,2,-1,0,unknown,yes
112,82,retired,married,primary,no,243,no,no,cellular,26,275,1,180,2,success,yes
113,34,blue-collar,married,secondary,no,262,no,no,cellular,1,339,1,-1,0,unknown,yes
114,32,technician,married,secondary,no,303,yes,no,cellular,8,150,1,267,4,failure,yes
115,35,student,single,secondary,no,188,yes,no,cellular,16,75,3,200,5,failure,yes
116,57,management,divorced,tertiary,no,8897,yes,no,cellular,12,865,2,-1,0,unknown,yes
117,24,services,single,secondary,yes,-122,yes,no,unknown,13,1000,1,-1,0,unknown,yes
118,32,management,single,tertiary,no,2974,yes,no,cellular,24,227,1,4,1,failure,yes
119,32,technician,married,secondary,no,473,no,yes,cellular,10,1064,1,95,3,success,yes
120,28,technician,single,secondary,no,1363,no,no,cellular,27,79,1,-1,0,unknown,yes
121,29,management,single,tertiary,no,1170,no,no,cellular,20,453,1,-1,0,unknown,yes
122,52,housemaid,married,primary,no,3798,yes,no,cellular,17,1208,1,-1,0,unknown,yes
123,35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,191,1,346,2,failure,yes
124,25,management,married,unknown,no,448,no,no,cellular,5,151,1,297,1,success,yes
125,70,retired,married,primary,no,324,no,no,cellular,11,632,1,308,6,other,yes
126,60,admin.,divorced,secondary,no,-41,yes,yes,cellular,6,1658,1,262,1,failure,yes
127,64,retired,married,primary,no,2140,no,no,cellular,16,881,3,155,2,failure,yes
128,32,admin.,married,secondary,no,35,no,no,cellular,17,324,3,126,3,success,yes
129,67,housemaid,divorced,secondary,no,5275,no,no,cellular,13,222,4,-1,0,unknown,yes
130,57,technician,divorced,tertiary,no,126,no,no,telephone,4,166,2,-1,0,unknown,yes
131,48,unknown,single,unknown,no,1819,no,no,cellular,2,1440,1,458,1,failure,yes
132,33,admin.,single,secondary,no,315,yes,yes,cellular,14,888,3,-1,0,unknown,yes
133,35,technician,married,secondary,no,1368,no,no,cellular,27,329,1,41,2,other,yes
134,34,management,married,secondary,no,369,no,no,cellular,2,868,3,342,4,failure,yes
135,61,retired,married,secondary,no,1058,no,no,cellular,27,218,2,91,3,success,yes
136,39,blue-collar,married,secondary,no,276,no,no,cellular,9,334,2,-1,0,unknown,yes
137,73,retired,married,primary,no,5539,no,no,telephone,6,338,1,-1,0,unknown,yes
138,32,technician,single,tertiary,no,6281,yes,no,unknown,3,1336,4,-1,0,unknown,yes
139,42,technician,married,unknown,no,1559,no,no,cellular,30,368,1,-1,0,unknown,yes
140,27,student,single,secondary,no,538,no,no,cellular,18,170,4,197,2,success,yes
141,32,management,single,tertiary,no,718,yes,no,cellular,29,155,1,197,1,success,yes
142,46,technician,married,unknown,no,3308,no,no,cellular,27,171,1,91,2,success,yes
143,30,management,single,tertiary,no,5359,no,no,cellular,27,119,1,98,1,success,yes
144,32,technician,single,tertiary,no,932,yes,no,cellular,16,944,1,318,1,failure,yes
145,62,housemaid,married,tertiary,no,1528,no,no,cellular,15,134,2,184,1,success,yes
146,28,student,single,tertiary,no,22,yes,no,cellular,15,536,2,-1,0,unknown,yes
147,37,services,married,secondary,no,6089,yes,no,cellular,14,616,2,-1,0,unknown,yes
148,33,blue-collar,married,secondary,no,315,no,no,cellular,4,146,3,-1,0,unknown,yes
149,37,admin.,single,primary,no,912,yes,no,cellular,12,637,3,328,22,other,yes
150,26,technician,single,tertiary,no,11862,no,no,cellular,13,119,1,-1,0,unknown,yes
151,59,retired,divorced,secondary,no,5583,yes,no,cellular,30,720,1,-1,0,unknown,yes
152,32,student,single,tertiary,no,1138,no,no,telephone,10,402,3,-1,0,unknown,yes
153,28,admin.,single,secondary,no,352,yes,yes,cellular,18,431,1,-1,0,unknown,yes
154,60,admin.,married,secondary,no,12980,no,no,cellular,5,115,1,-1,0,unknown,yes
155,39,blue-collar,single,primary,no,581,yes,no,cellular,27,233,1,270,1,other,yes
156,52,management,married,tertiary,no,583,no,no,cellular,17,209,1,91,2,failure,yes
157,68,retired,single,tertiary,no,2144,no,no,cellular,26,708,1,96,3,success,yes
158,47,services,divorced,unknown,no,973,no,no,cellular,27,489,1,479,1,failure,yes
159,24,student,single,secondary,no,822,no,no,cellular,27,184,1,91,2,failure,yes
160,77,retired,married,primary,no,2590,no,no,telephone,12,345,1,178,20,failure,yes
161,54,management,married,tertiary,no,8295,no,no,cellular,5,207,1,-1,0,unknown,yes
162,32,services,single,tertiary,no,945,no,no,cellular,20,531,1,-1,0,unknown,yes
163,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,1102,2,-1,0,unknown,yes
164,24,student,single,secondary,no,387,no,no,telephone,4,340,8,-1,0,unknown,yes
165,49,blue-collar,single,primary,no,566,yes,no,cellular,25,979,2,-1,0,unknown,yes
166,35,services,married,secondary,no,4170,yes,no,unknown,20,1777,1,-1,0,unknown,yes
167,31,technician,married,secondary,no,684,yes,no,cellular,7,620,3,-1,0,unknown,yes
168,47,admin.,married,secondary,no,368,no,no,cellular,21,403,1,87,6,success,yes
169,30,management,single,tertiary,no,3340,no,no,cellular,3,238,3,-1,0,unknown,yes
170,63,housemaid,married,primary,no,91,no,no,telephone,26,128,3,-1,0,unknown,yes
171,27,admin.,single,secondary,no,192,no,no,telephone,28,1076,17,-1,0,unknown,yes
172,40,admin.,divorced,secondary,no,2129,no,no,cellular,30,452,1,-1,0,unknown,yes
173,25,services,single,secondary,no,2311,no,yes,cellular,21,1105,2,-1,0,unknown,yes
174,58,management,divorced,tertiary,no,1257,no,no,cellular,5,1536,1,-1,0,unknown,yes
